pm1,pm10,pm25,timestamp
2,2,2,2020-11-12 19:43:23.922154
2,2,2,2020-11-12 19:43:29.694953
2,2,2,2020-11-12 19:43:33.534587
2,2,2,2020-11-12 19:43:38.730739
2,2,2,2020-11-12 19:43:43.806839
2,3,3,2020-11-12 19:43:48.971577
2,2,2,2020-11-12 19:43:54.065408
2,2,2,2020-11-12 19:43:58.716300
2,5,2,2020-11-12 19:44:03.652797
2,6,3,2020-11-12 19:44:08.773735
2,6,3,2020-11-12 19:44:13.890875
2,5,2,2020-11-12 19:44:19.050132
2,9,3,2020-11-12 19:44:24.156405
2,9,3,2020-11-12 19:44:28.774008
2,9,3,2020-11-12 19:44:33.787459
2,9,3,2020-11-12 19:44:38.819595
2,9,3,2020-11-12 19:44:43.932169
2,5,2,2020-11-12 19:44:49.059819
2,5,2,2020-11-12 19:44:54.167299
2,5,2,2020-11-12 19:44:59.287682
2,5,2,2020-11-12 19:45:03.727748
2,2,2,2020-11-12 19:45:08.898169
2,5,2,2020-11-12 19:45:14.026934
2,5,2,2020-11-12 19:45:19.142099
2,2,2,2020-11-12 19:45:24.626699
2,5,2,2020-11-12 19:45:28.688011
2,2,2,2020-11-12 19:45:33.860314
2,6,3,2020-11-12 19:45:38.977666
2,9,3,2020-11-12 19:45:44.141473
2,10,4,2020-11-12 19:45:49.239294
2,10,4,2020-11-12 19:45:54.346498
2,10,4,2020-11-12 19:45:58.762567
