value,timestamp
113.0,2020-12-02 10:23:29.818435
113.0,2020-12-02 10:23:34.289017
113.0,2020-12-02 10:23:39.307457
111.0,2020-12-02 10:23:44.424413
111.0,2020-12-02 10:23:49.586513
112.0,2020-12-02 10:23:54.694631
111.0,2020-12-02 10:23:59.801277
112.0,2020-12-02 10:24:04.941582
113.0,2020-12-02 10:24:09.326292
112.0,2020-12-02 10:24:14.600961
113.0,2020-12-02 10:24:19.664825
111.0,2020-12-02 10:24:26.179033
113.0,2020-12-02 10:24:29.849570
114.0,2020-12-02 10:24:34.990103
112.0,2020-12-02 10:24:39.407860
112.0,2020-12-02 10:24:44.662350
111.0,2020-12-02 10:24:50.012168
113.0,2020-12-02 10:24:54.824491
112.0,2020-12-02 10:24:59.947524
113.0,2020-12-02 10:25:05.056642
111.0,2020-12-02 10:25:09.500837
112.0,2020-12-02 10:25:14.652785
128.0,2020-12-02 10:25:19.765041
